case_id,case_family,changed_parameter,changed_value,propulsion_case,mission_fuel_kg,fuel_delta_vs_baseline_pct,estimated_mtow_kg,mtow_margin_to_upper_kg,min_thrust_margin_N,min_thrust_margin_ratio,raw_min_thrust_margin_N,raw_min_thrust_margin_ratio,raw_low_thrust_margin,raw_limiting_segment,corrected_approach_min_thrust_margin_N,corrected_approach_min_thrust_margin_ratio,corrected_low_thrust_margin,approach_model_sensitive,sizing_or_schedule_low_thrust,unmet_electric_load,unmet_electric_load_Wh,within_mtow_upper_bound,feasible_basic_raw,feasible_basic_corrected,takeoff_proxy_index,landing_proxy_index,constraint_count,conclusion_status_raw,conclusion_status_corrected,conclusion_status
V05-0010_adaptive,one_at_a_time,mtow_upper_kg,87500.0,adaptive_cycle_turbofan,11946.349527666916,-12.880914732004436,88948.72153967943,-1448.7215396794345,-39823.36356221416,-0.7484707132331708,-102980.47687972552,-0.5730802257589652,True,approach_landing,-39823.36356221416,-0.7484707132331708,True,False,True,False,0.0,False,False,False,7230.174613347759,1287.753860168884,5,rejected_low_thrust_margin,rejected_corrected_low_thrust_margin,rejected_corrected_low_thrust_margin
V05-0010_hybrid,one_at_a_time,mtow_upper_kg,87500.0,adaptive_cycle_plus_hybrid_electric,12443.225045810233,-9.257436234873857,93643.22504581024,-6143.225045810235,-41330.10106467904,-0.7553975549654726,-146505.56341178864,-0.7373600561524687,True,approach_landing,-41330.10106467904,-0.7553975549654726,True,False,True,True,287117.0432304107,False,False,False,9405.570797792094,1347.7497482992721,8,rejected_low_thrust_margin,rejected_corrected_low_thrust_margin,rejected_corrected_low_thrust_margin
V05-0011_baseline,one_at_a_time,mtow_upper_kg,90000.0,baseline_fixed_cycle_turbofan,13712.666393267995,0.0,90714.9911824971,-714.9911824971059,-39897.2915536737,-0.7488197179718766,-104611.55537619304,-0.5807301516292886,True,approach_landing,-39897.2915536737,-0.7488197179718766,True,False,True,False,0.0,False,False,False,7857.667309022469,1291.9393037068376,5,rejected_low_thrust_margin,rejected_corrected_low_thrust_margin,rejected_corrected_low_thrust_margin
V05-0011_adaptive,one_at_a_time,mtow_upper_kg,90000.0,adaptive_cycle_turbofan,11946.349527666916,-12.880914732004436,88948.72153967943,1051.2784603205655,-39823.36356221416,-0.7484707132331708,-102980.47687972552,-0.5730802257589652,True,approach_landing,-39823.36356221416,-0.7484707132331708,True,False,True,False,0.0,True,False,False,7230.174613347759,1287.753860168884,5,rejected_low_thrust_margin,rejected_corrected_low_thrust_margin,rejected_corrected_low_thrust_margin
V05-0011_hybrid,one_at_a_time,mtow_upper_kg,90000.0,adaptive_cycle_plus_hybrid_electric,12443.225045810233,-9.257436234873857,93643.22504581024,-3643.2250458102353,-41330.10106467904,-0.7553975549654726,-146505.56341178864,-0.7373600561524687,True,approach_landing,-41330.10106467904,-0.7553975549654726,True,False,True,True,287117.0432304107,False,False,False,9405.570797792094,1347.7497482992721,8,rejected_low_thrust_margin,rejected_corrected_low_thrust_margin,rejected_corrected_low_thrust_margin
V05-0012_baseline,one_at_a_time,total_electric_power_W,0.0,baseline_fixed_cycle_turbofan,13712.666393267995,0.0,90714.9911824971,4285.008817502894,-39897.2915536737,-0.7488197179718766,-104611.55537619304,-0.5807301516292886,True,approach_landing,-39897.2915536737,-0.7488197179718766,True,False,True,False,0.0,True,False,False,7857.667309022469,1291.9393037068376,5,rejected_low_thrust_margin,rejected_corrected_low_thrust_margin,rejected_corrected_low_thrust_margin
V05-0012_adaptive,one_at_a_time,total_electric_power_W,0.0,adaptive_cycle_turbofan,11946.349527666916,-12.880914732004436,88948.72153967943,6051.2784603205655,-39823.36356221416,-0.7484707132331708,-102980.47687972552,-0.5730802257589652,True,approach_landing,-39823.36356221416,-0.7484707132331708,True,False,True,False,0.0,True,False,False,7230.174613347759,1287.753860168884,5,rejected_low_thrust_margin,rejected_corrected_low_thrust_margin,rejected_corrected_low_thrust_margin
V05-0012_hybrid,one_at_a_time,total_electric_power_W,0.0,adaptive_cycle_plus_hybrid_electric,11996.31465194808,-12.516542677378409,92198.78974184845,2801.21025815155,-40954.42536436887,-0.7537064316267488,-111203.93638843574,-0.5917624274341755,True,approach_landing,-40954.42536436887,-0.7537064316267488,True,False,True,False,0.0,True,False,False,7768.440598022145,1345.5762858602968,5,rejected_low_thrust_margin,rejected_corrected_low_thrust_margin,rejected_corrected_low_thrust_margin
V05-0013_baseline,one_at_a_time,total_electric_power_W,2000000.0,baseline_fixed_cycle_turbofan,13712.666393267995,0.0,90714.9911824971,4285.008817502894,-39897.2915536737,-0.7488197179718766,-104611.55537619304,-0.5807301516292886,True,approach_landing,-39897.2915536737,-0.7488197179718766,True,False,True,False,0.0,True,False,False,7857.667309022469,1291.9393037068376,5,rejected_low_thrust_margin,rejected_corrected_low_thrust_margin,rejected_corrected_low_thrust_margin
V05-0013_adaptive,one_at_a_time,total_electric_power_W,2000000.0,adaptive_cycle_turbofan,11946.349527666916,-12.880914732004436,88948.72153967943,6051.2784603205655,-39823.36356221416,-0.7484707132331708,-102980.47687972552,-0.5730802257589652,True,approach_landing,-39823.36356221416,-0.7484707132331708,True,False,True,False,0.0,True,False,False,7230.174613347759,1287.753860168884,5,rejected_low_thrust_margin,rejected_corrected_low_thrust_margin,rejected_corrected_low_thrust_margin
