case_name,segment_name,weight_N,speed_mps,altitude_m,gamma_deg,drag_N,weight_component_along_path_N,required_thrust_level_flight_N,required_thrust_descent_N,available_thrust_N,electric_thrust_proxy_N,net_required_thrust_after_electric_N,thrust_margin_level_flight_N,thrust_margin_descent_N,thrust_margin_change_due_to_descent_N,conclusion_flag,approach_drag_factor,rating,electric_assist_enabled,engine_available_thrust_N,mission_required_thrust_N,mission_thrust_margin_N,unmet_electric_load_Wh
baseline_fixed_cycle_turbofan,approach_landing,771495.2959174783,70.0,250.0,-3.0,123844.85999108829,-40376.944048774145,123844.85999108829,83467.91594231414,75526.42279266262,0.0,83467.91594231414,-48318.43719842567,-7941.49314965152,40376.94404877415,sizing_or_schedule_issue,1.25,approach,False,75526.42279266262,180137.97816885565,-104611.55537619304,0.0
baseline_fixed_cycle_turbofan,approach_landing,771495.2959174783,70.0,250.0,-3.0,123844.85999108829,-40376.944048774145,123844.85999108829,83467.91594231414,189895.00587869462,0.0,83467.91594231414,66050.14588760633,106427.08993638048,40376.94404877415,no_low_margin_in_force_balance,1.25,climb,False,189895.00587869462,180137.97816885565,-104611.55537619304,0.0
baseline_fixed_cycle_turbofan,approach_landing,771495.2959174783,70.0,250.0,-3.5,74306.91599465297,-47098.661073774274,74306.91599465297,27208.254920878695,75526.42279266262,0.0,27208.254920878695,1219.50679800965,48318.167871783924,47098.661073774274,no_low_margin_in_force_balance,0.75,approach,False,75526.42279266262,180137.97816885565,-104611.55537619304,0.0
baseline_fixed_cycle_turbofan,approach_landing,771495.2959174783,70.0,250.0,-3.5,74306.91599465297,-47098.661073774274,74306.91599465297,27208.254920878695,189895.00587869462,0.0,27208.254920878695,115588.08988404165,162686.7509578159,47098.66107377426,no_low_margin_in_force_balance,0.75,climb,False,189895.00587869462,180137.97816885565,-104611.55537619304,0.0
baseline_fixed_cycle_turbofan,approach_landing,771495.2959174783,70.0,250.0,-3.5,99075.88799287063,-47098.661073774274,99075.88799287063,51977.226919096356,75526.42279266262,0.0,51977.226919096356,-23549.46520020801,23549.195873566263,47098.661073774274,constraint_sensitive_to_approach_model,1.0,approach,False,75526.42279266262,180137.97816885565,-104611.55537619304,0.0
baseline_fixed_cycle_turbofan,approach_landing,771495.2959174783,70.0,250.0,-3.5,99075.88799287063,-47098.661073774274,99075.88799287063,51977.226919096356,189895.00587869462,0.0,51977.226919096356,90819.11788582399,137917.77895959828,47098.66107377429,no_low_margin_in_force_balance,1.0,climb,False,189895.00587869462,180137.97816885565,-104611.55537619304,0.0
baseline_fixed_cycle_turbofan,approach_landing,771495.2959174783,70.0,250.0,-3.5,123844.85999108829,-47098.661073774274,123844.85999108829,76746.19891731402,75526.42279266262,0.0,76746.19891731402,-48318.43719842567,-1219.7761246513983,47098.661073774274,sizing_or_schedule_issue,1.25,approach,False,75526.42279266262,180137.97816885565,-104611.55537619304,0.0
baseline_fixed_cycle_turbofan,approach_landing,771495.2959174783,70.0,250.0,-3.5,123844.85999108829,-47098.661073774274,123844.85999108829,76746.19891731402,189895.00587869462,0.0,76746.19891731402,66050.14588760633,113148.8069613806,47098.661073774274,no_low_margin_in_force_balance,1.25,climb,False,189895.00587869462,180137.97816885565,-104611.55537619304,0.0
adaptive_cycle_turbofan,approach_landing,769775.8503153378,70.0,250.0,-2.5,74124.78184294119,-33577.15099938562,74124.78184294119,40547.63084355556,76715.96395164705,0.0,40547.63084355556,2591.1821087058634,36168.33310809149,33577.15099938562,no_low_margin_in_force_balance,0.75,approach,False,76715.96395164705,179696.44083137257,-102980.47687972552,0.0
adaptive_cycle_turbofan,approach_landing,769775.8503153378,70.0,250.0,-2.5,74124.78184294119,-33577.15099938562,74124.78184294119,40547.63084355556,194547.43352272263,0.0,40547.63084355556,120422.65167978144,153999.80267916707,33577.15099938563,no_low_margin_in_force_balance,0.75,climb,False,194547.43352272263,179696.44083137257,-102980.47687972552,0.0
adaptive_cycle_turbofan,approach_landing,769775.8503153378,70.0,250.0,-2.5,98833.04245725492,-33577.15099938562,98833.04245725492,65255.8914578693,76715.96395164705,0.0,65255.8914578693,-22117.078505607875,11460.072493777749,33577.15099938562,constraint_sensitive_to_approach_model,1.0,approach,False,76715.96395164705,179696.44083137257,-102980.47687972552,0.0
adaptive_cycle_turbofan,approach_landing,769775.8503153378,70.0,250.0,-2.5,98833.04245725492,-33577.15099938562,98833.04245725492,65255.8914578693,194547.43352272263,0.0,65255.8914578693,95714.3910654677,129291.54206485333,33577.15099938563,no_low_margin_in_force_balance,1.0,climb,False,194547.43352272263,179696.44083137257,-102980.47687972552,0.0
adaptive_cycle_turbofan,approach_landing,769775.8503153378,70.0,250.0,-2.5,123541.30307156866,-33577.15099938562,123541.30307156866,89964.15207218303,76715.96395164705,0.0,89964.15207218303,-46825.33911992161,-13248.188120535982,33577.15099938563,sizing_or_schedule_issue,1.25,approach,False,76715.96395164705,179696.44083137257,-102980.47687972552,0.0
adaptive_cycle_turbofan,approach_landing,769775.8503153378,70.0,250.0,-2.5,123541.30307156866,-33577.15099938562,123541.30307156866,89964.15207218303,194547.43352272263,0.0,89964.15207218303,71006.13045115396,104583.2814505396,33577.15099938563,no_low_margin_in_force_balance,1.25,climb,False,194547.43352272263,179696.44083137257,-102980.47687972552,0.0
adaptive_cycle_turbofan,approach_landing,769775.8503153378,70.0,250.0,-3.0,74124.78184294119,-40286.9552189784,74124.78184294119,33837.826623962785,76715.96395164705,0.0,33837.826623962785,2591.1821087058634,42878.137327684264,40286.9552189784,no_low_margin_in_force_balance,0.75,approach,False,76715.96395164705,179696.44083137257,-102980.47687972552,0.0
adaptive_cycle_turbofan,approach_landing,769775.8503153378,70.0,250.0,-3.0,74124.78184294119,-40286.9552189784,74124.78184294119,33837.826623962785,194547.43352272263,0.0,33837.826623962785,120422.65167978144,160709.60689875984,40286.9552189784,no_low_margin_in_force_balance,0.75,climb,False,194547.43352272263,179696.44083137257,-102980.47687972552,0.0
adaptive_cycle_turbofan,approach_landing,769775.8503153378,70.0,250.0,-3.0,98833.04245725492,-40286.9552189784,98833.04245725492,58546.08723827652,76715.96395164705,0.0,58546.08723827652,-22117.078505607875,18169.876713370526,40286.9552189784,constraint_sensitive_to_approach_model,1.0,approach,False,76715.96395164705,179696.44083137257,-102980.47687972552,0.0
adaptive_cycle_turbofan,approach_landing,769775.8503153378,70.0,250.0,-3.0,98833.04245725492,-40286.9552189784,98833.04245725492,58546.08723827652,194547.43352272263,0.0,58546.08723827652,95714.3910654677,136001.3462844461,40286.9552189784,no_low_margin_in_force_balance,1.0,climb,False,194547.43352272263,179696.44083137257,-102980.47687972552,0.0
adaptive_cycle_turbofan,approach_landing,769775.8503153378,70.0,250.0,-3.0,123541.30307156866,-40286.9552189784,123541.30307156866,83254.34785259026,76715.96395164705,0.0,83254.34785259026,-46825.33911992161,-6538.383900943212,40286.9552189784,sizing_or_schedule_issue,1.25,approach,False,76715.96395164705,179696.44083137257,-102980.47687972552,0.0
adaptive_cycle_turbofan,approach_landing,769775.8503153378,70.0,250.0,-3.0,123541.30307156866,-40286.9552189784,123541.30307156866,83254.34785259026,194547.43352272263,0.0,83254.34785259026,71006.13045115396,111293.08567013236,40286.9552189784,no_low_margin_in_force_balance,1.25,climb,False,194547.43352272263,179696.44083137257,-102980.47687972552,0.0
adaptive_cycle_turbofan,approach_landing,769775.8503153378,70.0,250.0,-3.5,74124.78184294119,-46993.691430953964,74124.78184294119,27131.09041198722,76715.96395164705,0.0,27131.09041198722,2591.1821087058634,49584.87353965983,46993.691430953964,no_low_margin_in_force_balance,0.75,approach,False,76715.96395164705,179696.44083137257,-102980.47687972552,0.0
adaptive_cycle_turbofan,approach_landing,769775.8503153378,70.0,250.0,-3.5,74124.78184294119,-46993.691430953964,74124.78184294119,27131.09041198722,194547.43352272263,0.0,27131.09041198722,120422.65167978144,167416.3431107354,46993.69143095397,no_low_margin_in_force_balance,0.75,climb,False,194547.43352272263,179696.44083137257,-102980.47687972552,0.0
adaptive_cycle_turbofan,approach_landing,769775.8503153378,70.0,250.0,-3.5,98833.04245725492,-46993.691430953964,98833.04245725492,51839.35102630096,76715.96395164705,0.0,51839.35102630096,-22117.078505607875,24876.61292534609,46993.691430953964,constraint_sensitive_to_approach_model,1.0,approach,False,76715.96395164705,179696.44083137257,-102980.47687972552,0.0
adaptive_cycle_turbofan,approach_landing,769775.8503153378,70.0,250.0,-3.5,98833.04245725492,-46993.691430953964,98833.04245725492,51839.35102630096,194547.43352272263,0.0,51839.35102630096,95714.3910654677,142708.08249642167,46993.69143095397,no_low_margin_in_force_balance,1.0,climb,False,194547.43352272263,179696.44083137257,-102980.47687972552,0.0
